id_seguimiento,id_arbol,fecha_hora,tipo_seguimiento,estado_salud,fuste,cazuela,ahuecamiento,inclinacion,altura,fase_vital,riesgo,levantamiento_vereda,tipo_tierra,tipo_calle,luz_led,prox_fecha_mante
30,43,5/16/2023 11:17:54,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-07-11
32,45,5/17/2023 09:01:57,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
33,46,5/17/2023 09:45:32,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
36,49,5/17/2023 10:20:50,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
37,50,5/17/2023 10:29:09,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
38,51,5/18/2023 11:30:39,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-09-11
41,54,5/19/2023 08:54:18,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Tierra,Si,2023-10-11
43,56,5/19/2023 10:02:35,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
44,57,5/19/2023 10:12:47,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
20,33,5/16/2023 08:38:03,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,Si,2023-07-11
21,34,5/16/2023 08:57:26,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,Si,2023-07-11
22,35,5/16/2023 09:39:03,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-07-11
48,61,5/19/2023 11:30:27,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
28,41,5/16/2023 10:57:11,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-07-11
31,44,5/16/2023 11:38:22,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-07-11
34,47,5/17/2023 10:00:19,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
35,48,5/17/2023 10:15:36,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-08-11
39,52,5/19/2023 07:56:11,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,2023-10-11
40,53,5/19/2023 08:16:24,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Ripio,Si,2023-10-11
42,55,5/19/2023 09:37:47,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
46,59,5/19/2023 11:04:01,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
45,58,5/19/2023 11:01:09,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
47,60,5/19/2023 11:25:12,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,Si,2023-10-11
24,37,5/16/2023 10:10:07,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Asfalto,Si,2023-07-11
49,62,5/23/2023 08:46:29,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/14/2023
50,63,5/23/2023 09:22:00,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,2023-07-11
52,65,5/24/2023 08:19:25,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
54,67,5/24/2023 08:56:16,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,5/24/2023
55,68,5/24/2023 09:03:57,Plantacion,Bueno,Entre 0.10 y 0.40 m,Mediana,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
56,69,5/24/2023 09:05:47,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,No,5/24/2023
57,70,5/24/2023 09:07:49,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,No,5/24/2023
58,71,5/24/2023 09:10:33,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
59,72,5/24/2023 09:17:39,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Tierra,Si,5/24/2023
60,73,5/24/2023 09:19:37,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Tierra,Si,5/24/2023
61,74,5/24/2023 09:21:54,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
62,75,5/24/2023 09:27:28,Plantacion,Bueno,Menor a 0.10 m,Sobre nivel,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
63,76,5/24/2023 09:29:55,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
64,77,5/24/2023 09:39:29,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
65,78,5/24/2023 09:54:15,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
66,79,5/24/2023 10:01:47,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
67,80,5/24/2023 10:23:04,Plantacion,Bueno,Entre 0.10 y 0.40 m,Mediana,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
68,81,5/24/2023 10:23:57,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
69,82,5/24/2023 10:27:33,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
70,83,5/24/2023 10:30:25,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
71,84,5/24/2023 10:33:55,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
72,85,5/24/2023 10:36:04,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
73,86,5/24/2023 10:38:37,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/24/2023
74,87,5/24/2023 10:40:33,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,5/24/2023
77,90,5/29/2023 08:33:01,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/13/2023
80,93,5/29/2023 10:20:14,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/13/2023
84,97,5/29/2023 11:24:50,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sobre nivel,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
85,98,5/29/2023 11:32:30,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
89,102,5/30/2023 09:01:13,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
90,103,5/30/2023 09:20:44,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
91,104,5/30/2023 09:23:23,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/14/2023
92,105,5/30/2023 09:30:54,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
93,106,5/30/2023 09:31:06,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/14/2023
94,107,5/30/2023 09:33:58,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
96,109,5/30/2023 10:08:14,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
97,110,5/30/2023 10:15:04,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
98,111,5/30/2023 10:19:12,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
100,113,5/30/2023 11:00:46,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
101,114,5/30/2023 11:24:32,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
53,66,5/24/2023 08:50:19,Plantacion,Bueno,Entre 0.10 y 0.40 m,Mediana,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
75,88,5/24/2023 10:49:17,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,2023-08-11
76,89,5/29/2023 08:29:20,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/13/2023
79,92,5/29/2023 10:15:23,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/13/2023
78,91,5/29/2023 09:42:42,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/13/2023
81,94,5/29/2023 10:24:20,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/13/2023
82,95,5/29/2023 10:34:08,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sobre nivel,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
86,99,5/29/2023 11:45:41,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
83,96,5/29/2023 10:56:55,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sobre nivel,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
87,100,5/29/2023 11:52:05,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
88,101,5/29/2023 12:00:23,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/13/2023
95,108,5/30/2023 09:52:35,Plantacion,Bueno,Entre 0.10 y 0.40 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/14/2023
99,112,5/30/2023 10:42:30,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Ripio,No,11/14/2023
102,115,5/30/2023 11:26:44,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
103,116,5/30/2023 11:56:43,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,5/30/2023
104,117,5/30/2023 11:58:59,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
105,118,5/30/2023 12:04:03,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,5/30/2023
106,119,5/30/2023 12:06:51,Plantacion,Bueno,Menor a 0.10 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,5/30/2023
110,123,5/31/2023 10:07:57,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/15/2023
111,124,5/31/2023 10:13:25,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Negra,Asfalto,Si,11/15/2023
115,128,6/1/2023 12:14:25,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/15/2023
119,132,6/2/2023 10:08:12,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,Alto,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/17/2023
120,133,6/2/2023 10:34:20,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/17/2023
121,134,6/2/2023 11:02:29,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/17/2023
122,135,6/5/2023 9:50:25,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,11/14/2024
123,136,6/5/2023 10:10:44,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,11/20/2023
124,137,6/5/2023 10:27:48,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,11/20/2023
125,138,6/5/2023 10:48:00,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,11/20/2023
126,139,6/5/2023 11:16:27,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Mayor a 15 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,11/20/2023
127,140,6/14/2023 17:48:39,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Arbol parasitado (con especies vegetales),No,Arenosa,Asfalto,Si,6/14/2023
130,143,6/21/2023 08:47:13,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,Si,11/22/2023
131,144,6/21/2023 09:24:40,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/22/2023
132,145,6/21/2023 10:03:17,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Asfalto,Si,11/22/2023
133,146,6/21/2023 10:24:17,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Añoso,Arbol parasitado (con especies vegetales),No,Negra,Tierra,No,11/22/2023
134,147,6/22/2023 09:57:17,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/23/2023
135,148,6/22/2023 10:18:05,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sobre nivel,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Asfalto,No,11/23/2023
136,149,6/23/2023 10:24:41,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/23/2023
137,150,6/23/2023 10:58:59,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,11/23/2023
141,154,6/27/2023 09:15:59,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/27/2023
144,157,6/28/2023 08:56:18,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Negra,Ripio,No,11/28/2023
146,159,6/28/2023 11:41:52,Plantacion,Bueno,Entre 0.10 y 0.40 m,Chica,No,Sin inclinación,Menor a 5 m,Añoso,Sin riesgo de caída,No,Arenosa,Asfalto,No,6/28/2023
147,160,6/28/2023 11:51:22,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Ripio,No,11/29/2023
